source_path,target_path,hash,subject,course,module,status,duplicate_of
C:\class\oreillyBooks\AI_Engineering (2).pdf,files/ai-llm-prompt-engineering/ai-engineering/AI_Engineering (2)_001.pdf,c19db3a9904fbe2545f7949d3e282ac76c4302f92b17677b8df0c403c148ca6b,AI / LLM / Prompt Engineering,AI Engineering,AI Engineering (2),imported,
"C:\class\oreillyBooks\Beginning C++ Through Game Programming (Michael Dawson) (z-library.sk, 1lib.sk, z-lib.sk).pdf","files/programming-languages/beginning-c/Beginning C++ Through Game Programming (Michael Dawson) (z-library.sk, 1lib.sk, z-lib.sk)_001.pdf",1b814ac99db654e056643a8dbce11d2532bc7a4db753df7fd6f9afc917bd000d,Programming languages,beginning c++,"Beginning C++ Through Game Programming (Michael Dawson) (z-library.sk, 1lib.sk, z-lib.sk)",imported,
C:\class\oreillyBooks\book Book Machine Learning and AI for Absolute Beginners.pdf,files/machine-learning/ml-for-absolute-beginners/book Book Machine Learning and AI for Absolute Beginners.pdf,989d204a88aba3b44476cd1a2872512bf9856123e051e5d800cd50316e574949,Machine Learning,ML for Absolute Beginners,book Book Machine Learning and AI for Absolute Beginners,imported,
C:\class\oreillyBooks\Build Business Advantage With Real-Time Decision-Making.pdf,files/business/business-books-collection/Build Business Advantage With Real-Time Decision-Making.pdf,983bb3a49ae33b6adf89ff1b202587a1af00cf0f160874337f71c455b31a6dde,Business,Business Books Collection,Build Business Advantage With Real-Time Decision-Making,imported,
C:\class\oreillyBooks\Clean Code A Handbook of Agile Software Craftsmanship.pdf,files/software-architecture-design/software-architecture-library/Clean Code A Handbook of Agile Software Craftsmanship.pdf,b49a6d66d72a962c7cf12912195a7ae753153184a5f4a70714a4e9c02847860d,Software Architecture & Design,Software Architecture Library,Clean Code A Handbook of Agile Software Craftsmanship,imported,
C:\class\oreillyBooks\Clean_Architecture_A_Craftsmans_Guide_to_Software_Structure_and_Design.pdf,files/software-architecture-design/software-architecture-library/Clean_Architecture_A_Craftsmans_Guide_to_Software_Structure_and_Design.pdf,947a23e269af267b303835403000558d260b04dd8531721c3d6ca35a203bd254,Software Architecture & Design,Software Architecture Library,Clean Architecture A Craftsmans Guide to Software Structure and Design,imported,
C:\class\oreillyBooks\Computer Organization.pdf,files/digital-logic/digital-logic-design-academic-note/Computer Organization.pdf,92f3e8559e9363c1ec541cb022b7f0c6b6daaffec73b76f8a9732024508455b4,Digital Logic,Digital Logic Design (Academic Note),Computer Organization,imported,
C:\class\oreillyBooks\Cultivating an Entrepreneurial Mindset.pdf,C:\Users\hi\Downloads\webdev\Django_Projects\e-learning\edu\media\files\_duplicates\20260404_132113\Cultivating an Entrepreneurial Mindset.pdf,f8701c72572ec433f7dc0dbc0397d0548c80965ee41e4cf4459fc989dc241066,,,,duplicate_quarantined,files/Cultivating_an_Entrepreneurial_Mindset_A1HkUHb.pdf
C:\class\oreillyBooks\Database Systems.pdf,files/database/database-systems/Database Systems.pdf,e3b7f9416f7a92f02cf235d54fa995c235eddd63631e95eb46361f25463048e0,Database,database systems,Database Systems,imported,
"C:\class\oreillyBooks\Designing Data-Intensive Applications, 2nd Edition.pdf","files/database/data-intensive-applications/Designing Data-Intensive Applications, 2nd Edition.pdf",bc04127d5a59401eecc6dac86bf93afae2193553817ab3681b9822794df2cc31,Database,Data-Intensive Applications,"Designing Data-Intensive Applications, 2nd Edition",imported,
"C:\class\oreillyBooks\Developing Cybersecurity Programs and Policies in an AI-Driven World, 4th Edition.pdf","files/general-tech/general-tech-library/Developing Cybersecurity Programs and Policies in an AI-Driven World, 4th Edition.pdf",8d5ace988a8330700629c649fa2b768ecfebd28adf3bb4710f3b943d39896613,General Tech,General Tech Library,"Developing Cybersecurity Programs and Policies in an AI-Driven World, 4th Edition",imported,
C:\class\oreillyBooks\Django 5 By Example.pdf,,,,,,skipped_config,
"C:\class\oreillyBooks\Django 5 By Example_Fifth Edition (Antonio Melé) (z-library.sk, 1lib.sk, z-lib.sk).pdf","files/programming-languages/django-5-by-example/Django 5 By Example_Fifth Edition (Antonio Melé) (z-library.sk, 1lib.sk, z-lib.sk).pdf",b44d313658fb52f4d4e4602f9581b9753a4d250a9a2f9c8e3516fc290807b65b,Programming languages,Django 5 By Example,"Django 5 By Example Fifth Edition (Antonio Melé) (z-library.sk, 1lib.sk, z-lib.sk)",imported,
C:\class\oreillyBooks\Full Stack Testing.pdf,files/fundamentals-of-software-engineering/fundamentals-of-software-engineering/Full Stack Testing.pdf,17841e840be573a178697d5b9baea6e628fd0e62ddd29a5c0f026f106a46708f,Fundamentals of Software Engineering,Fundamentals of Software Engineering,Full Stack Testing,imported,
